"","Topic 1","Topic 2","Topic 3","Topic 4","Topic 5","Topic 6","Topic 7","Topic 8","Topic 9","Topic 10","Topic 11","Topic 12","Topic 13","Topic 14","Topic 15","Topic 16","Topic 17","Topic 18","Topic 19","Topic 20"
"1","you","you","i","no","he","que","the","ich","the","oh","we","this","she","a","i","the","it","i","the","you"
"2","do","i","you","the","a","de","of","du","a","a","the","is","i","e","the","and","you","am","i","your"
"3","not","me","the","na","the","la","and","und","of","yeah","and","i","and","me","you","to","is","my","to","the"
"4","me","to","and","bad","and","y","in","die","is","it","are","my","her","o","it","it","not","the","you","and"
"5","i","my","am","to","his","me","to","der","to","hey","to","come","was","saturday","a","in","i","to","on","are"
"6","love","love","not","in","in","no","will","das","in","gonna","our","la","to","da","and","on","that","and","got","to"
"7","to","and","will","s","on","tu","is","in","it","the","will","you","a","mi","my","we","what","a","it","will"
"8","babi","will","come","and","for","en","with","ist","are","ya","us","it","the","de","not","get","all","me","get","it"
"9","know","have","to","my","is","a","a","es","that","babi","it","hot","that","sunday","like","up","know","in","a","out"
"10","if","the","on","them","him","te","your","mich","what","is","be","not","would","dem","that","come","to","for","me","a"
"11","be","be","me","more","day","el","for","nicht","and","well","a","whi","me","like","to","my","oh","be","and","in"
"12","let","for","see","they","to","un","as","auf","for","rock","on","a","not","di","is","so","are","way","not","up"
"13","go","time","down","a","that","si","from","wenn","not","and","all","on","but","eu","am","with","and","of","in","when"
"14","your","that","of","it","down","mi","night","ein","this","ooh","for","song","just","l","get","of","do","have","come","danc"
"15","what","all","have","nah","with","es","one","dich","they","got","this","m","my","gal","in","like","the","this","do","can"
"16","can","in","feel","t","you","yo","all","wie","you","are","of","hous","said","road","up","rock","so","but","up","down"
"17","want","one","all","all","not","et","light","dein","world","on","have","save","if","é","do","is","but","that","your","all"
"18","wanna","never","so","me","man","le","eye","bist","at","alright","can","me","could","che","me","all","just","with","my","not"
"19","tell","your","is","up","they","je","my","bin","have","do","there","and","all","wait","nigga","your","a","away","is","who"
"20","with","are","in","is","but","lo","through","mit","littl","in","not","ca","it","no","with","let","right","will","babi","they"
"21","and","know","ca","so","was","se","this","mir","be","rain","you","am","when","johnni","when","make","have","so","like","chang"
"22","it","heart","this","night","song","quiero","burn","sie","onli","my","togeth","white","now","monday","shit","a","no","not","but","run"
"23","make","when","your","like","of","les","by","dann","life","thing","so","so","on","não","they","music","now","need","down","is"
"24","am","again","it","lone","got","por","into","zu","their","littl","live","for","up","só","your","go","feel","is","am","say"
"25","just","ever","around","that","at","amor","they","den","with","you","away","gonna","is","so","this","now","girl","life","so","mind"
"26","so","is","gone","of","old","una","lord","mein","dead","like","world","light","of","meu","fuck","one","say","can","go","like"
"27","take","just","my","than","ah","con","our","immer","on","woman","that","wait","at","do","for","ya","how","out","with","turn"
"28","whi","so","what","these","boy","ya","are","er","your","good","way","music","whoa","friday","on","that","yeah","one","all","that"
"29","no","would","back","lyric","what","pas","there","ihr","no","sweet","love","give","night","se","em","back","be","never","make","time"
"30","about","alway","never","jah","when","qui","on","jingl","believ","go","never","broke","had","morn","got","just","want","love","some","go"
"31","that","of","go","say","home","para","dark","wir","time","your","is","mine","in","pretti","but","i","like","world","of","back"
"32","think","onli","now","go","die","dan","be","dir","end","comin","no","en","girl","bah","so","uh","can","ca","caus","do"
"33","in","day","through","bring","jesus","des","that","an","about","get","now","long","have","tutto","be","got","tell","like","give","take"
"34","is","there","fall","make","had","est","sky","mehr","so","u","what","mind","as","fi","of","out","there","find","back","be"
"35","my","more","are","gonna","think","cest","blood","all","lie","better","stop","movin","then","ma","can","yeah","ca","go","for","there"
"36","ca","a","wo","when","around","los","fall","was","there","what","one","over","did","queen","what","do","would","as","when","but"
"37","say","could","up","we","god","à","come","für","an","i","here","sing","parti","pra","or","for","thing","was","move","hand"
"38","are","but","eye","have","there","il","sun","kann","say","with","time","never","well","questo","off","you","your","would","at","for"
"39","for","back","face","down","round","ce","soul","nur","or","lord","go","they","gone","tuesday","out","this","me","there","show","follow"
"40","will","life","same","beauti","out","ti","no","so","all","come","by","hard","there","na","ya","they","make","been","girl","anoth"
"41","wo","want","let","man","way","sin","life","doch","thought","of","get","love","be","samba","caus","see","wrong","caus","no","now"
"42","need","were","everyth","seed","like","tout","see","sich","just","brown","heart","us","they","two","yo","them","if","day","are","where"
"43","have","give","from","out","where","más","god","aus","from","roll","stand","ant","know","que","bitch","yall","got","mind","work","face"
"44","talk","need","caus","chang","from","todo","die","un","kill","about","see","when","play","fine","know","ha","whi","from","big","on"
"45","caus","been","know","noth","countri","pour","earth","von","mind","run","but","til","left","alla","down","what","when","by","will","have"
"46","gonna","let","alon","from","look","las","their","denn","some","time","hope","alcohol","by","você","yall","parti","someth","what","have","from"
"47","leav","here","insid","hide","sing","al","fire","bell","street","how","let","get","been","um","hit","here","get","on","top","or"
"48","call","with","myself","shine","hole","ne","death","noch","god","around","or","readi","friend","heavi","niggaz","yo","could","dream","here","nobodi"
"49","gotta","feel","out","never","tumbl","como","so","hat","fight","old","if","came","long","in","we","from","true","your","put","better"
"50","pleas","how","but","take","son","on","day","rap","war","man","out","det","cri","vai","see","start","for","here","ay","of"
"51","a","it","away","alway","blue","mai","oh","kein","who","honey","tomorrow","loser","home","call","ass","gangsta","well","free","hold","here"
"52","should","rememb","watch","don","all","plus","has","hier","do","girl","from","har","out","want","no","runnin","take","just","see","readi"
"53","come","now","take","wo","an","comm","down","dem","but","everi","day","everi","see","night","how","tell","who","say","time","keep"
"54","but","long","when","world","so","ell","end","jetzt","part","much","through","die","time","pure","at","wild","way","gonna","one","wait"
"55","realli","dream","can","hey","one","tus","moon","meinem","against","mama","take","tri","with","quando","will","onli","believ","man","look","get"
"56","how","everi","be","re","goin","tanto","wind","stand","look","gettin","gotta","beat","some","sem","from","take","break","walk","ai","right"
"57","thing","come","look","murder","head","du","now","is","control","no","must","ur","were","vou","if","girl","time","again","she","away"
"58","cri","way","just","are","onli","solo","rise","yeah","was","money","in","can","even","whi","kick","keep","over","word","be","put"
"59","on","on","anymor","let","it","hay","upon","weil","wrong","new","two","ja","saw","gent","wit","move","in","lose","good","see"
"60","now","stay","a","not","never","mas","time","will","these","john","may","ann","alon","sono","wanna","but","one","no","take","if"
"61","feel","did","stand","black","know","nunca","dream","sind","real","for","christma","break","wish","from","about","caught","see","still","first","noth"
"62","worri","this","been","last","who","va","these","al","soul","crazi","could","watch","use","em","keep","want","ai","myself","free","as"
"63","wait","help","again","woman","life","vez","we","gibt","everyth","had","hold","side","one","minha","these","livin","boy","tonight","set","life"
"64","everyth","am","that","everi","we","ma","call","im","way","believ","as","been","turn","nun","then","right","hard","know","now","year"
"65","out","as","right","want","sun","bien","who","am","peopl","machin","round","coz","went","itâ","man","peopl","look","own","want","let"
"66","girl","was","home","die","go","cuando","voic","dass","must","action","find","tast","you","si","beat","two","tri","who","know","arm"
"67","ooh","make","like","matter","devil","san","shine","da","thing","all","say","say","thing","need","was","if","was","tri","let","send"
"68","crazi","still","breath","for","do","del","shall","man","boy","high","noth","demon","look","bo","let","new","this","kill","then","tri"
"69","or","good","with","better","off","moi","long","nach","hate","not","where","bleed","littl","afternoon","them","can","life","take","out","than"
"70","where","mine","turn","oo","tell","sur","star","nein","ca","there","between","fine","never","give","all","know","wanna","heart","keep","hold"
"71","2","go","rain","da","good","vida","hand","wo","out","said","both","everyth","no","com","never","time","heart","give","way","look"
"72","good","forev","sun","day","just","pero","it","sein","die","down","with","som","caus","non","think","jame","about","more","littl","goe"
"73","the","close","sing","get","love","nos","at","roll","eye","revolut","light","big","like","lead","back","everybodi","too","use","bout","line"
"74","keep","where","do","with","if","tengo","heart","auch","them","call","your","where","more","girl","ima","mad","been","these","talk","own"
"75","see","see","goodby","give","did","tiempo","sing","wird","person","from","new","distanc","whi","tudo","ai","rhyme","think","rather","befor","around"
"76","done","if","lie","while","my","mon","let","mal","king","jack","sail","far","what","è","make","beat","doe","head","tri","come"
"77","without","through","burn","smooth","then","une","morn","aber","speak","over","everyon","och","still","well","just","no","mean","leav","bottom","call"
"78","hear","say","think","wonder","well","corazón","open","hab","death","take","some","n","walk","mas","fuckin","turn","has","when","side","leader"
"79","down","away","gonna","here","than","soy","wing","komm","rule","to","come","fli","old","ca","gotta","even","realli","should","stop","place"
"80","g","too","put","chair","cross","ser","close","ja","by","never","wo","fault","got","ba","head","sound","they","pain","push","just"
"81","got","someon","fuck","luck","walk","son","fill","um","live","pretti","start","stop","call","total","cuz","yea","chang","hand","just","by"
"82","yeah","yes","hate","way","along","au","abov","hast","think","everybodi","tri","date","go","rough","some","down","night","into","yeah","rais"
"83","would","like","someday","one","now","hoy","face","brauch","we","caus","fade","jag","ask","indian","better","when","everyth","place","right","sound"
"84","when","friend","get","still","touch","estoy","name","geld","becom","she","down","steadi","so","como","now","g","should","today","night","one"
"85","man","thing","forget","bar","peopl","mis","black","mach","up","mari","look","eg","from","an","good","dancin","ohh","woah","too","futur"
"86","give","than","here","regga","come","esta","world","schon","race","town","caus","niin","took","shoulda","call","em","did","made","gonna","into"
"87","stand","littl","start","king","can","nada","glori","land","chain","gun","them","lost","laugh","sei","motherfuck","day","away","high","wo","break"
"88","still","hold","thing","or","town","ahora","how","zeit","bit","say","year","anoth","place","essa","rap","man","caus","do","that","at"
"89","up","lover","tear","thing","ride","hace","shadow","hand","sick","longer","wish","hon","smile","já","had","then","said","voic","bite","daddi"
"90","onli","start","make","fear","road","porqu","faith","bis","word","am","set","like","keep","ask","time","was","or","sleep","guy","through"
"91","around","found","place","there","talk","vie","fear","sag","noth","right","know","belong","too","eh","run","will","of","anoth","from","still"
"92","there","befor","without","peopl","cri","petit","hear","euch","onc","news","they","men","young","know","us","at","hope","tell","black","caus"
"93","too","end","blood","eye","about","quon","hell","nie","generat","her","each","keep","where","come","who","listen","down","hope","there","aliv"
"94","tonight","at","say","thought","will","tú","me","war","power","than","merri","ei","how","hear","still","caus","ah","wait","bit","wast"
"95","home","then","live","good","live","nous","fli","ab","chanc","away","beat","faster","do","style","game","stop","els","walkin","gotta","listen"
"96","mayb","leav","side","word","said","jai","sin","jeden","us","togeth","just","do","we","sua","ca","gon","hear","hold","said","were"
"97","3","find","find","love","up","ojo","us","keiner","man","walk","lie","here","eye","bem","more","men","real","over","pick","touch"
"98","fool","much","sky","she","30","toi","heaven","über","where","let","were","all","wo","fazer","put","night","sure","thing","ride","could"
"99","mind","other","someth","too","goe","ven","reach","viel","confus","goin","help","too","much","nuh","while","ah","alway","believ","okay","town"
"100","forgiv","from","keep","sign","lord","voy","beauti","welt","give","n","dream","så","song","mill","heat","not","through","guess","hit","an"
